YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,TMEAN,WIND_SPEED,WIND_DIRECTION,RH
2010,3,31,0.0,32.9,23.0,28.0,2.0,40.0,67.0
2010,4,1,0.0,35.0,22.8,28.9,2.0,200.0,65.0
2010,4,2,0.0,35.1,24.0,29.6,2.0,200.0,68.0
2010,4,3,0.0,34.8,23.6,29.2,2.0,160.0,67.0
2010,4,4,0.0,35.6,23.8,29.7,1.0,20.0,64.0
2010,4,5,0.0,35.3,24.0,29.6,2.0,180.0,66.0
2010,4,6,0.0,36.1,23.0,29.6,1.0,160.0,69.0
2010,4,7,0.0,35.3,23.6,29.5,1.0,140.0,65.0
2010,4,8,0.0,35.8,22.8,29.3,2.0,140.0,65.0
2010,4,9,0.0,34.9,22.7,28.8,1.0,180.0,65.0
2010,4,10,0.0,36.0,22.8,29.4,2.0,160.0,57.0
2010,4,11,0.0,36.3,22.5,29.4,2.0,140.0,60.0
2010,4,12,1.0,36.0,26.8,31.4,1.0,220.0,64.0
2010,4,13,0.2,34.4,25.0,29.7,2.0,180.0,69.0
2010,4,14,0.0,34.5,24.5,29.5,2.0,140.0,61.0
2010,4,15,0.0,36.2,24.3,30.3,1.0,220.0,60.0
2010,4,16,0.0,35.5,25.1,30.3,2.0,170.0,66.0
2010,4,17,0.0,36.2,25.6,30.9,2.0,110.0,58.0
2010,4,18,0.0,34.8,23.3,29.0,1.0,90.0,63.0
2010,4,19,0.0,35.4,23.3,29.4,1.0,140.0,63.0
2010,4,20,0.0,36.8,24.9,30.8,1.0,180.0,61.0
2010,4,21,0.0,35.8,24.0,29.9,1.0,220.0,62.0
2010,4,22,0.0,36.8,24.8,30.8,1.0,160.0,57.0
2010,4,23,0.0,35.8,25.8,30.8,1.0,160.0,60.0
2010,4,24,0.0,35.7,26.6,31.2,2.0,180.0,62.0
2010,4,25,0.0,33.8,25.9,29.8,1.0,140.0,65.0
2010,4,26,0.0,36.4,24.0,30.2,1.0,180.0,63.0
2010,4,27,0.0,36.3,25.3,30.8,1.0,180.0,64.0
2010,4,28,1.2,37.3,25.3,31.3,2.0,180.0,67.0
2010,4,29,2.5,34.3,24.5,29.4,1.0,360.0,81.0
2010,4,30,15.2,35.3,24.7,30.0,2.0,250.0,80.0
2010,5,1,1.4,34.3,25.8,30.0,1.0,20.0,78.0
2010,5,2,0.0,35.5,26.9,31.2,1.0,360.0,73.0
2010,5,3,0.4,35.9,25.3,30.6,1.0,360.0,72.0
2010,5,4,0.0,37.0,26.6,31.8,1.0,160.0,62.0
2010,5,5,1.2,36.6,25.8,31.2,1.0,90.0,74.0
2010,5,6,0.0,35.8,25.4,30.6,2.0,140.0,60.0
2010,5,7,0.0,36.4,24.9,30.7,2.0,140.0,57.0
2010,5,8,0.0,37.0,26.2,31.6,1.0,160.0,61.0
2010,5,9,0.0,36.3,27.0,31.6,1.0,360.0,70.0
2010,5,10,0.0,36.1,25.6,30.9,1.0,270.0,65.0
2010,5,11,0.0,36.7,24.8,30.8,1.0,360.0,59.0
2010,5,12,0.0,36.2,24.3,30.3,2.0,140.0,63.0
2010,5,13,0.0,36.1,24.9,30.5,2.0,160.0,60.0
2010,5,14,0.0,36.8,24.9,30.8,2.0,90.0,61.0
2010,5,15,0.0,36.6,23.6,30.1,2.0,160.0,58.0
2010,5,16,0.0,37.2,25.0,31.1,1.0,180.0,56.0
2010,5,17,0.0,37.3,27.0,32.2,2.0,140.0,55.0
2010,5,18,0.0,36.8,27.5,32.2,1.0,180.0,63.0
2010,5,19,0.0,37.5,27.8,32.7,1.0,220.0,65.0
2010,5,20,0.0,36.8,27.4,32.1,1.0,180.0,66.0
2010,5,21,0.0,36.5,28.2,32.3,1.0,250.0,68.0
2010,5,22,0.0,36.5,28.3,32.4,1.0,220.0,64.0
2010,5,23,0.0,36.0,28.1,32.0,1.0,270.0,70.0
2010,5,24,0.0,34.9,27.6,31.3,1.0,270.0,71.0
2010,5,25,0.0,35.7,27.4,31.5,1.0,290.0,71.0
2010,5,26,0.0,38.0,27.7,32.8,2.0,160.0,66.0
2010,5,27,0.2,34.4,28.3,31.4,1.0,160.0,72.0
2010,5,28,52.8,35.9,24.9,30.4,2.0,180.0,80.0
2010,5,29,0.0,34.9,27.9,31.4,2.0,330.0,78.0
2010,5,30,4.0,35.3,25.7,30.5,2.0,250.0,78.0
2010,5,31,2.0,34.3,26.4,30.3,1.0,320.0,77.0
2010,6,1,4.3,32.2,26.0,29.1,1.0,220.0,90.0
2010,6,2,20.6,31.7,24.9,28.3,1.0,360.0,90.0
2010,6,3,6.6,30.1,25.0,27.5,1.0,320.0,89.0
2010,6,4,0.8,32.6,26.0,29.3,1.0,290.0,86.0
2010,6,5,4.0,32.2,26.3,29.3,2.0,270.0,85.0
2010,6,6,7.6,31.0,26.2,28.6,1.0,290.0,92.0
2010,6,7,0.0,34.3,25.8,30.0,1.0,40.0,76.0
2010,6,8,0.0,34.8,27.0,30.9,1.0,220.0,74.0
2010,6,9,22.5,33.7,25.4,29.5,1.0,320.0,84.0
2010,6,10,3.4,33.5,24.7,29.1,1.0,40.0,87.0
2010,6,11,44.6,32.6,25.1,28.9,1.0,40.0,87.0
2010,6,12,0.0,34.3,25.9,30.1,1.0,270.0,81.0
2010,6,13,0.0,34.9,25.8,30.4,1.0,110.0,79.0
2010,6,14,8.2,36.1,24.5,30.3,1.0,20.0,77.0
2010,6,15,32.0,35.9,25.6,30.8,1.0,200.0,82.0
2010,6,16,8.8,36.6,26.8,31.7,1.0,180.0,72.0
2010,6,17,0.0,35.6,26.3,31.0,1.0,250.0,75.0
2010,6,18,0.6,34.8,26.6,30.7,1.0,180.0,78.0
2010,6,19,20.0,33.9,25.1,29.5,1.0,220.0,86.0
2010,6,20,1.5,34.8,25.3,30.0,1.0,110.0,80.0
2010,6,21,0.0,35.0,26.0,30.5,1.0,220.0,76.0
2010,6,22,8.0,32.2,25.7,29.0,1.0,180.0,85.0
2010,6,23,2.6,34.2,25.9,30.0,1.0,270.0,80.0
2010,6,24,12.4,33.7,25.2,29.5,1.0,220.0,79.0
2010,6,25,42.5,33.6,25.1,29.4,1.0,160.0,84.0
2010,6,26,1.2,32.9,24.8,28.9,1.0,110.0,82.0
2010,6,27,27.7,33.3,25.7,29.5,1.0,360.0,86.0
2010,6,28,56.5,33.5,25.1,29.3,1.0,250.0,86.0
2010,6,29,18.6,31.4,25.3,28.4,1.0,180.0,91.0
2010,6,30,0.5,32.9,25.8,29.4,1.0,270.0,86.0
2010,7,1,0.0,34.0,25.9,30.0,1.0,220.0,79.0
2010,7,2,0.0,34.1,25.4,29.8,1.0,140.0,79.0
2010,7,3,2.2,34.5,24.8,29.7,1.0,290.0,84.0
2010,7,4,0.0,34.4,25.8,30.1,2.0,320.0,77.0
2010,7,5,2.1,33.4,24.0,28.7,2.0,360.0,86.0
2010,7,6,0.0,34.3,25.3,29.8,2.0,290.0,74.0
2010,7,7,11.9,36.0,24.7,30.4,1.0,360.0,77.0
2010,7,8,0.0,34.6,25.6,30.1,1.0,360.0,79.0
2010,7,9,0.0,31.3,24.3,27.8,1.0,140.0,83.0
2010,7,10,0.2,33.2,24.8,29.0,2.0,310.0,80.0
2010,7,11,0.0,33.8,24.3,29.0,1.0,40.0,80.0
2010,7,12,22.0,34.6,24.8,29.7,2.0,360.0,80.0
2010,7,13,74.2,30.9,23.6,27.3,4.0,40.0,94.0
2010,7,14,0.0,30.8,25.0,27.9,1.0,40.0,84.0
2010,7,15,0.0,33.4,25.2,29.3,1.0,140.0,75.0
2010,7,16,1.8,31.2,24.8,28.0,1.0,180.0,84.0
2010,7,17,2.9,34.8,24.6,29.7,1.0,40.0,83.0
2010,7,18,3.9,30.0,23.8,26.9,1.0,220.0,93.0
2010,7,19,0.0,33.8,24.9,29.3,3.0,160.0,80.0
2010,7,20,5.2,33.0,24.4,28.7,1.0,320.0,84.0
2010,7,21,9.5,33.0,23.8,28.4,1.0,40.0,88.0
2010,7,22,0.0,30.6,24.8,27.7,1.0,360.0,88.0
2010,7,23,43.5,32.4,24.3,28.4,1.0,360.0,94.0
2010,7,24,9.6,31.0,25.1,28.0,1.0,160.0,97.0
2010,7,25,105.9,29.5,23.3,26.4,1.0,140.0,96.0
2010,7,26,0.2,34.0,25.0,29.5,1.0,160.0,79.0
2010,7,27,3.1,34.1,25.1,29.6,1.0,40.0,85.0
2010,7,28,54.2,33.5,24.4,29.0,1.0,220.0,84.0
2010,7,29,26.8,34.4,24.7,29.6,1.0,320.0,87.0
2010,7,30,19.4,31.6,25.0,28.3,1.0,180.0,87.0
2010,7,31,11.8,31.6,24.2,27.9,1.0,110.0,97.0
2010,8,1,0.0,33.5,25.5,29.5,1.0,200.0,80.0
2010,8,2,1.2,34.4,25.5,30.0,1.0,320.0,84.0
2010,8,3,70.0,31.4,23.6,27.5,1.0,220.0,88.0
2010,8,4,9.5,33.0,24.3,28.7,1.0,340.0,87.0
2010,8,5,122.0,33.3,24.7,29.0,1.0,140.0,88.0
2010,8,6,0.0,32.1,26.3,29.2,1.0,320.0,83.0
2010,8,7,32.2,31.7,25.0,28.4,2.0,220.0,90.0
2010,8,8,38.7,29.5,24.6,27.0,1.0,220.0,93.0
2010,8,9,0.0,31.6,25.3,28.5,1.0,220.0,86.0
2010,8,10,0.0,32.5,24.9,28.7,1.0,200.0,83.0
2010,8,11,4.4,31.5,24.8,28.2,1.0,360.0,88.0
2010,8,12,51.9,31.8,23.3,27.6,1.0,320.0,91.0
2010,8,13,0.0,33.4,25.1,29.3,1.0,180.0,78.0
2010,8,14,0.1,34.6,24.8,29.7,1.0,360.0,79.0
2010,8,15,49.1,32.6,23.8,28.2,1.0,360.0,86.0
2010,8,16,0.0,33.2,24.8,29.0,1.0,320.0,83.0
2010,8,17,2.6,32.4,24.0,28.2,1.0,140.0,94.0
2010,8,18,4.4,32.2,24.8,28.5,1.0,140.0,84.0
2010,8,19,0.0,31.3,25.4,28.4,1.0,340.0,88.0
2010,8,20,0.0,33.3,25.5,29.4,2.0,360.0,84.0
2010,8,21,2.0,31.0,24.5,27.8,1.0,200.0,84.0
2010,8,22,3.2,32.5,23.6,28.0,1.0,220.0,86.0
2010,8,23,74.1,33.6,23.2,28.4,1.0,40.0,85.0
2010,8,24,5.2,32.8,23.6,28.2,1.0,360.0,86.0
2010,8,25,23.2,32.4,24.4,28.4,2.0,360.0,90.0
2010,8,26,80.5,31.4,24.5,28.0,1.0,140.0,89.0
2010,8,27,6.3,31.3,24.5,27.9,2.0,220.0,88.0
2010,8,28,0.0,33.4,24.9,29.2,1.0,220.0,80.0
2010,8,29,3.0,31.7,24.0,27.9,1.0,220.0,84.0
2010,8,30,11.5,32.3,25.1,28.7,1.0,270.0,83.0
2010,8,31,33.0,32.4,24.5,28.5,2.0,220.0,88.0
2010,9,1,67.6,33.4,23.2,28.3,1.0,220.0,88.0
2010,9,2,120.6,29.6,23.6,26.6,1.0,290.0,90.0
2010,9,3,13.4,29.3,23.2,26.3,1.0,290.0,93.0
